Year,Corporation Name,School Corporation,Occupancy Ratio,Human Capital Ratio,Instruction Ratio
2021,Excel Center - Bloomington,8655,0.12333757027525673,0.5557444580862584,0.42514892743282434
2021,James & Rosemary Phalen Elementary,8685,0.1153848870202926,0.44054009976334363,0.39762646712257077
2021,James and Rosemary Phalen Leadersh,8940,0.07264799108789059,0.45426983900590967,0.3662943063029143
2021,Phalen Leadership Academy at Franc,8950,0.12194761989700237,0.4184877945974739,0.3871238204608393
2021,Purdue Polytechnic High School Sou,8960,0.08504198362226432,0.6336447008190169,0.6427407972076735
2021,GEO Next Generation Academy,8970,0.12396236836112365,0.35643315434983014,0.3641555861357015
2021,J & R Phalen Leadership Academy,9045,0.19140624223987673,0.22731499962454774,0.20434607922687997
2021,Excel Center - Clarksville,9050,0.07635856634596203,0.4645735555805847,0.3380597102927403
2021,Excel Center - Hammond,9055,0.10748561528053831,0.48570439226515394,0.3693147984165361
2021,Allegiant Preparatory Academy,9065,0.05469130905236588,0.3562575765548141,0.2997312716753536
2021,Vanguard Collegiate of Indy,9080,0.05000279938533813,0.37205158878761524,0.39337179074267736
2021,Circle City Prep Charter School,9150,0.09341522254972445,0.3561581055192184,0.2776140410474446
2021,Excel Center - Muncie,9160,0.1133027392191539,0.5053724940424634,0.42357280445956064
2021,Excel Center - Gary,9190,0.11809792643872802,0.6902160421275494,0.566025032834861
2021,The Excel Center - Richmond,9305,0.09315599879007462,0.5475808824999301,0.41431135402581526
2021,The Excel Center - Lafayette,9345,0.08678999559476022,0.5040233482007124,0.37725691996283567
2021,The Excel Center - Kokomo,9355,0.0649260509473509,0.49763014209070305,0.3539104956903624
2021,Christel House Academy South,9380,0.292445991442509,0.51898665326023,0.4374708926055292
2021,Christel House DORS South,9385,0.17671977172251332,0.42033950220673166,0.2959050543575625
2021,Christel House Academy West,9395,0.10046571414049627,0.4752412415411158,0.4076550623592069
2021,Indy STEAM Academy,9534,0.19137595255446244,0.3696514907530494,0.40051759668919074
2021,Excel Center Elkhart,9539,0.08026258800192716,0.7735048237819229,0.6659120906790401
2021,The Excel Center - Anderson,9750,0.0991891339971012,0.40921895350863746,0.3438317528289641
2021,Excel Center - Noblesville,9855,0.09915758063874117,0.6242772825456977,0.45472801847308614
2021,Gary Middle College,9885,0.046282151178388506,0.5522803994190624,0.49137031008454585
2021,Excel Center - South Bend,9900,0.0505168228447074,0.5389530695593865,0.4006125502046577
2021,Phalen Ldrshp Acad - IN Inc,9925,0.023171602267957954,0.2982363897942384,0.27511927481022785
2021,Phalen Leadership Academy at Louis,9954,0.1443640388619366,0.4065737739932189,0.4030928022054612
2021,ACE Preparatory Academy,9970,0.1020190842070476,0.392398619329064,0.39350023633818093
2021,Steel City Academy,9980,0.020428973918058136,0.5224411807542897,0.4091359726666058
2021,Heritage Institute of Arts & Tech,9990,0.056515582224511876,0.4006636802231756,0.3669667908220578
2021,Excel Center - Shelbyville,9995,0.09707698886201743,0.5405347886969136,0.509931733448579
2020,Excel Center - Bloomington,8655,0.09615220582237989,0.43060503663337063,0.2975178355438712
2020,James & Rosemary Phalen Elementary,8685,0.10340349179797517,0.3836473839217323,0.3366086983219814
2020,James and Rosemary Phalen Leadersh,8940,0.0030659590263164174,0.5738748589745416,0.41743664057352725
2020,Phalen Leadership Academy at Franc,8950,0.13476836999495628,0.44566455004762756,0.417985163233377
2020,Purdue Polytechnic High School Sou,8960,0.06903213700913924,0.5823594594460986,0.6466121234713249
2020,GEO Next Generation Academy,8970,0.14622203768662906,0.4240211523340786,0.4011532171185787
2020,J & R Phalen Leadership Academy,9045,0.24311975548009088,0.24944222960126325,0.20769637248035264
2020,Excel Center - Clarksville,9050,0.08252305746165624,0.5332216813598971,0.3946630515644245
2020,Excel Center - Hammond,9055,0.06797717919487448,0.3956682539380404,0.27962803749850224
2020,Allegiant Preparatory Academy,9065,0.04351082868642738,0.36110511066229173,0.3292761302344369
2020,Vanguard Collegiate of Indy,9080,0.10230186470874018,0.4679380225928181,0.489867164808515
2020,Circle City Prep Charter School,9150,0.10958791846477446,0.3723929799156473,0.31132471359021857
2020,Excel Center - Muncie,9160,0.12055743258119452,0.5893230788841616,0.4634526169792906
2020,Excel Center - Gary,9190,0.09528356584318758,0.6280523469525915,0.47914627008237803
2020,The Excel Center - Richmond,9305,0.0650208387869445,0.44367215536931864,0.3293227758118239
2020,The Excel Center - Lafayette,9345,0.11483469049117107,0.4973260149273716,0.3523543983864295
2020,The Excel Center - Kokomo,9355,0.05583015365163215,0.4744492693835735,0.31870716324501713
2020,Christel House Academy South,9380,0.08847267212120924,0.5779360266686687,0.4659104100709183
2020,Christel House DORS South,9385,0.11682983386481963,0.4838400779409775,0.29226876820296455
2020,Christel House Academy West,9395,0.10027917334036285,0.44851416245745485,0.37591922363143737
2020,The Excel Center - Anderson,9750,0.09357154413693851,0.40430471684740144,0.3334940212286077
2020,Excel Center - Noblesville,9855,0.09082264049563447,0.6207774566919708,0.46238090124386244
2020,Gary Middle College,9885,0.10385884111631194,0.5655071287801668,0.5062261744095733
2020,Excel Center - South Bend,9900,0.03710037344483004,0.4816455297605383,0.34564251209948355
2020,Phalen Ldrshp Acad - IN Inc,9925,0.02208019276737452,0.2580664600469867,0.2232542636732711
2020,Phalen Leadership Academy at Louis,9954,0.042045613978744296,0.5288149335797157,0.5243688359424385
2020,ACE Preparatory Academy,9970,0.12191190948224301,0.40866716928911867,0.395912743605686
2020,Steel City Academy,9980,0.00831628207373268,0.5859879624075955,0.4979929909666158
2020,Heritage Institute of Arts & Tech,9990,0.0537991632248788,0.3708987771948289,0.3384910056951436
2020,Excel Center - Shelbyville,9995,0.10291322896356046,0.5753992709517531,0.5244441693077531
2019,Excel Center - Bloomington,8655,0.2489822646138752,0.11073588265612204,0.0891099385941798
2019,James & Rosemary Phalen Elementary,8685,0.1289401392205177,0.37244819890098674,0.35150626374948524
2019,J & R Phalen Leadership Academy,9045,0.059483901222875384,0.22763843118380883,0.16799602754569296
2019,Excel Center - Clarksville,9050,0.06941142126612863,0.40252985177489836,0.2922944185300117
2019,Excel Center - Hammond,9055,0.07644376378769974,0.4044353100020511,0.27747680599742547
2019,Allegiant Preparatory Academy,9065,0.10006621962152347,0.4692583487164054,0.4057316584682487
2019,Vanguard Collegiate of Indy,9080,0.23368096186945186,0.5148770561745463,0.4231035847024628
2019,Circle City Prep Charter School,9150,0.1236040434308394,0.3738079682855441,0.3419184486987163
2019,Excel Center - Muncie,9160,0.08577169789844778,0.3755389731744821,0.28306064605968095
2019,Excel Center - Gary,9190,0.06779266645610575,0.45782639077898973,0.3329490665106405
